^SAMPLE = GSM705675
!Sample_title = SJHYPO132
!Sample_geo_accession = GSM705675
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 6_Hypo
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with hypodiploid karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705675/suppl/GSM705675.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	258.4	A	0.089405
1053_at	373.5	P	0.001141
117_at	38.5	A	0.541184
121_at	900.3	P	0.008689
1255_g_at	92.9	A	0.397994
1294_at	1782.5	P	0.000266
1316_at	195.4	P	0.048995
1320_at	55.6	A	0.849473
1405_i_at	827.4	P	0.001755
1431_at	137.5	P	0.02786
1438_at	138.9	A	0.339558
1487_at	400.4	A	0.175989
1494_f_at	302.9	M	0.05447
1598_g_at	791.5	A	0.189687
160020_at	627.8	P	0.035163
1729_at	699.5	P	0.002228
1773_at	267.6	A	0.127645
177_at	177.6	A	0.150527
179_at	620.7	M	0.060419
1861_at	249.9	M	0.060419
200000_s_at	3624.2	P	0.000244
200001_at	3421.2	P	0.000732
200002_at	14283.8	P	0.000244
200003_s_at	29008	P	0.000244
200004_at	9072.9	P	0.000244
200005_at	5218.7	P	0.000244
200006_at	7843	P	0.000244
200007_at	6523.4	P	0.000244
200008_s_at	5260.1	P	0.000244
200009_at	7934.9	P	0.000244
200010_at	17990.5	P	0.000244
200011_s_at	1114.6	P	0.001221
200012_x_at	18838.3	P	0.000244
200013_at	15403.1	P	0.000244
200014_s_at	2637.9	P	0.000244
200015_s_at	1979.8	P	0.001221
200016_x_at	25546.3	P	0.000244
200017_at	16088.4	P	0.000244
200018_at	25735.3	P	0.000244
200019_s_at	19181.9	P	0.000244
200020_at	2950.8	P	0.000244
200021_at	32780.2	P	0.001221
200022_at	16693.8	P	0.000244
200023_s_at	8652.4	P	0.000244
200024_at	18590.7	P	0.000244
200025_s_at	29772.4	P	0.000244
200026_at	34207.9	P	0.000732
200027_at	2552.5	P	0.000244
200028_s_at	3408.8	P	0.000732
200029_at	23476.7	P	0.000244
200030_s_at	10026	P	0.000244
200031_s_at	36641.6	P	0.000244
200032_s_at	35755.6	P	0.000244
200033_at	14310.6	P	0.000244
200034_s_at	16097.5	P	0.000244
200035_at	3729.5	P	0.000732
200036_s_at	14408	P	0.000244
200037_s_at	3664.9	P	0.000244
200038_s_at	23141	P	0.000244
200039_s_at	2944	P	0.000244
200040_at	4148.4	P	0.000244
200041_s_at	9285.2	P	0.000244
200042_at	1225.2	P	0.00415
200043_at	8090.1	P	0.000244
200044_at	4479.5	P	0.000244
200045_at	1824.4	P	0.000244
200046_at	1991.4	P	0.000244
200047_s_at	3704.8	P	0.000244
200048_s_at	3716.8	P	0.000244
200049_at	973	P	0.000244
200050_at	1457.1	P	0.000244
200051_at	654.9	P	0.000244
200052_s_at	3813.8	P	0.000244
200053_at	2019.7	P	0.000732
200054_at	411.9	P	0.000244
200055_at	3666.6	P	0.000244
200056_s_at	512.4	P	0.010742
200057_s_at	9840.4	P	0.000244
200058_s_at	3062.5	P	0.000244
200059_s_at	21978.1	P	0.000244
200060_s_at	2877.1	P	0.001221
200061_s_at	37458.2	P	0.000244
200062_s_at	40873	P	0.000244
200063_s_at	16695.3	P	0.000244
200064_at	13938.6	P	0.000244
200065_s_at	4654.7	P	0.000244
200066_at	1480	P	0.000244
200067_x_at	1701.1	P	0.000732
200068_s_at	5203.2	P	0.000244
200069_at	617.8	P	0.00293
200070_at	576.4	P	0.000732
200071_at	768.4	P	0.01416
200072_s_at	4873.6	P	0.000244
200073_s_at	3870.7	P	0.000244
200074_s_at	11079.1	P	0.000244
200075_s_at	1463.2	P	0.000244
200076_s_at	1253.1	P	0.001221
200077_s_at	15761.6	P	0.000244
200078_s_at	2530.1	P	0.001953
200079_s_at	4299.3	P	0.000244
200080_s_at	16097.6	P	0.000244
200081_s_at	13250.6	P	0.000244
200082_s_at	23220.8	P	0.000244
200083_at	1946.3	P	0.001221
200084_at	3495.7	P	0.000244
200085_s_at	3218.8	P	0.000244
200086_s_at	3157.5	P	0.000244
200087_s_at	3205.5	P	0.000244
200088_x_at	18146.7	P	0.000244
200089_s_at	13808.8	P	0.000244
200090_at	2986.6	P	0.000732
200091_s_at	11061.3	P	0.000244
200092_s_at	19524	P	0.000244
200093_s_at	3306.5	P	0.000244
200094_s_at	5988.8	P	0.000244
200095_x_at	43365.6	P	0.000244
200096_s_at	2448.7	P	0.000244
200097_s_at	4706.1	P	0.000244
200098_s_at	2268.6	P	0.000244
200099_s_at	28708.6	P	0.000244
200593_s_at	4043.4	P	0.000244
200594_x_at	8327.7	P	0.000244
200595_s_at	2397.2	P	0.000244
200596_s_at	1204	P	0.000732
200597_at	709.3	P	0.000244
200598_s_at	1823	P	0.000244
200599_s_at	4947.6	P	0.000244
200600_at	4126	P	0.000244
200601_at	1226.2	P	0.000732
200602_at	249.5	M	0.056152
200603_at	1566.1	P	0.000244
200604_s_at	1333.2	P	0.000244
200605_s_at	2291.8	P	0.000244
200606_at	141.6	M	0.056152
200607_s_at	1859.3	P	0.000244
200608_s_at	2302.4	P	0.000244
200609_s_at	2312.7	P	0.000244
200610_s_at	10760.2	P	0.000732
200611_s_at	3635.6	P	0.000244
200612_s_at	129.3	A	0.5
200613_at	1499.6	P	0.001953
200614_at	7337.4	P	0.000244
200615_s_at	759.8	P	0.010742
200616_s_at	639.8	P	0.01416
200617_at	1258.8	P	0.000244
200618_at	2580.7	P	0.001953
200619_at	2054.6	P	0.00415
200620_at	2204.4	P	0.000732
200621_at	566.6	P	0.008057
200622_x_at	1100.9	P	0.010742
200623_s_at	2692.3	P	0.000244
200624_s_at	5540.8	P	0.000244
200625_s_at	3999.7	P	0.000244
200626_s_at	2895.5	P	0.000732
200627_at	7941	P	0.000244
200628_s_at	970.8	A	0.19458
200629_at	1194.6	P	0.000244
200630_x_at	7243.1	P	0.000244
200631_s_at	5630.8	P	0.000244
200632_s_at	862.8	P	0.000244
200633_at	11190.6	P	0.000244
200634_at	13367.4	P	0.000244
200635_s_at	168.5	A	0.19458
200636_s_at	159.5	A	0.601074
200637_s_at	23.7	A	0.828613
200638_s_at	5145.6	P	0.000244
200639_s_at	4554.6	P	0.000244
200640_at	8813.3	P	0.000244
200641_s_at	5474.7	P	0.000244
200642_at	6149.5	P	0.000244
200643_at	598.4	A	0.129639
200644_at	4081.4	P	0.000244
200645_at	6747.5	P	0.000244
200646_s_at	169.5	M	0.056152
200647_x_at	3155.8	P	0.001953
200648_s_at	403.5	A	0.171387
200649_at	595.5	P	0.00415
200650_s_at	13141.5	P	0.000244
200651_at	24694.2	P	0.000244
200652_at	2885	P	0.000732
200653_s_at	2796	P	0.000244
200654_at	3584.3	P	0.018555
200655_s_at	6070.8	P	0.000244
200656_s_at	835.9	P	0.00293
200657_at	10548.1	P	0.000244
200658_s_at	1064.1	P	0.000244
200659_s_at	520.5	P	0.037598
200660_at	378.2	A	0.080566
200661_at	299.4	A	0.219482
200662_s_at	2066.4	P	0.000732
200663_at	2895.5	P	0.000732
200664_s_at	1005.8	P	0.00293
200665_s_at	604.6	P	0.01416
200666_s_at	1781.3	P	0.000244
200667_at	2095.8	P	0.000244
200668_s_at	6327.6	P	0.000244
200669_s_at	3456.7	P	0.000244
200670_at	5735	P	0.000244
200671_s_at	1111.8	P	0.000732
200672_x_at	2138.5	P	0.000244
200673_at	3160.5	P	0.000244
200674_s_at	41749	P	0.000244
200675_at	6591.8	P	0.000244
200676_s_at	447	P	0.001953
200677_at	1332.9	P	0.000244
200678_x_at	1166.6	P	0.01416
200679_x_at	11818.3	P	0.000244
200680_x_at	23546.1	P	0.000244
200681_at	1942.4	P	0.000732
200682_s_at	3685.9	P	0.000244
200683_s_at	1925.8	P	0.005859
200684_s_at	762.5	P	0.001953
200685_at	220.7	P	0.023926
200686_s_at	2209.3	P	0.000732
200687_s_at	1125.2	P	0.000244
200688_at	192.6	A	0.129639
200689_x_at	28551.1	P	0.000244
200690_at	265.6	A	0.219482
200691_s_at	1882.7	P	0.000244
200692_s_at	1671.7	P	0.000244
200693_at	9373.2	P	0.000244
200694_s_at	1886.9	P	0.000244
200695_at	1495.4	P	0.005859
200696_s_at	3187.4	P	0.000244
200697_at	794.9	P	0.030273
200698_at	956.9	P	0.000244
200699_at	717.8	P	0.005859
200700_s_at	2600.5	P	0.000244
200701_at	1853.4	P	0.000244
200702_s_at	250.3	P	0.030273
200703_at	4499	P	0.000732
200704_at	1131.2	P	0.000244
200705_s_at	12468.1	P	0.000244
200706_s_at	1001.1	P	0.005859
200707_at	951.1	P	0.01416
