^SAMPLE = GSM705695
!Sample_title = SJHYPO111
!Sample_geo_accession = GSM705695
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705695/suppl/GSM705695.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	862	M	0.05447
1053_at	429.3	M	0.060419
117_at	373.4	A	0.150527
121_at	1835.7	P	0.019304
1255_g_at	202.9	A	0.175989
1294_at	2420	P	0.000266
1316_at	327.3	P	0.02786
1320_at	62.8	A	0.715253
1405_i_at	105	A	0.364945
1431_at	164.8	A	0.218983
1438_at	604.4	P	0.048995
1487_at	789.5	A	0.107301
1494_f_at	481.9	A	0.098054
1598_g_at	1007.1	P	0.048995
160020_at	1259.5	P	0.043968
1729_at	483.8	A	0.107301
1773_at	415.9	A	0.138765
177_at	163.7	A	0.284747
179_at	1133.8	A	0.081337
1861_at	177.3	A	0.32083
200000_s_at	3345.4	P	0.000244
200001_at	2427.5	P	0.001953
200002_at	6994.8	P	0.000244
200003_s_at	19495.3	P	0.000244
200004_at	6785.6	P	0.000244
200005_at	4550.2	P	0.000244
200006_at	3958.8	P	0.000732
200007_at	5177.5	P	0.000244
200008_s_at	3680.3	P	0.000244
200009_at	6433.5	P	0.000244
200010_at	11654.8	P	0.000244
200011_s_at	1233.8	P	0.00293
200012_x_at	14071.7	P	0.000244
200013_at	9363.5	P	0.000244
200014_s_at	1497.1	P	0.000244
200015_s_at	1456.5	P	0.001221
200016_x_at	16074.8	P	0.000244
200017_at	7153.1	P	0.000732
200018_at	18348.7	P	0.000244
200019_s_at	9269.2	P	0.000244
200020_at	2375	P	0.000244
200021_at	25691.6	P	0.001221
200022_at	11369	P	0.000244
200023_s_at	4888	P	0.000244
200024_at	11505.1	P	0.000732
200025_s_at	14194.5	P	0.000244
200026_at	13856.9	P	0.001953
200027_at	2595.1	P	0.000244
200028_s_at	2356.1	P	0.000732
200029_at	13964.6	P	0.000244
200030_s_at	7893.1	P	0.000244
200031_s_at	27746.7	P	0.000244
200032_s_at	21728.9	P	0.000244
200033_at	10645.5	P	0.000244
200034_s_at	12805.1	P	0.000244
200035_at	983.3	A	0.095215
200036_s_at	7025.3	P	0.000244
200037_s_at	2723.1	P	0.001221
200038_s_at	12635.5	P	0.000244
200039_s_at	1565.5	P	0.000244
200040_at	2837.6	P	0.000244
200041_s_at	12349.3	P	0.000244
200042_at	1711	P	0.01416
200043_at	3907.1	P	0.001221
200044_at	1987.3	P	0.000244
200045_at	2033.8	P	0.001953
200046_at	4673.2	P	0.000244
200047_s_at	1910.8	P	0.000244
200048_s_at	4090.8	P	0.000244
200049_at	822	P	0.001221
200050_at	1595.8	P	0.001953
200051_at	711.9	P	0.001953
200052_s_at	2305.3	P	0.000244
200053_at	806.9	P	0.000244
200054_at	480.2	P	0.001221
200055_at	1876.9	P	0.000244
200056_s_at	351.6	A	0.067627
200057_s_at	8958.2	P	0.000244
200058_s_at	4493.9	P	0.000244
200059_s_at	7932.1	P	0.000244
200060_s_at	2577.8	P	0.001953
200061_s_at	20972.4	P	0.000244
200062_s_at	18515.2	P	0.000244
200063_s_at	13905.5	P	0.000244
200064_at	6075.3	P	0.000732
200065_s_at	2608.1	P	0.000244
200066_at	1328.4	P	0.001221
200067_x_at	1775.2	P	0.000732
200068_s_at	3587.5	P	0.000244
200069_at	518.6	P	0.00415
200070_at	881.8	P	0.000732
200071_at	523.9	P	0.023926
200072_s_at	4814	P	0.000244
200073_s_at	3107.8	P	0.000244
200074_s_at	4038.3	P	0.000244
200075_s_at	697.1	P	0.000732
200076_s_at	1019.2	P	0.000732
200077_s_at	12645.4	P	0.000244
200078_s_at	2166.9	P	0.046143
200079_s_at	2573.4	P	0.000244
200080_s_at	13074.2	P	0.000244
200081_s_at	10726.9	P	0.000244
200082_s_at	13431.8	P	0.000244
200083_at	2001.9	P	0.008057
200084_at	2095.6	P	0.000244
200085_s_at	2278.9	P	0.001221
200086_s_at	2248	P	0.000244
200087_s_at	1529.8	P	0.000244
200088_x_at	12140.6	P	0.000244
200089_s_at	8979.4	P	0.000244
200090_at	2663.8	P	0.000244
200091_s_at	4157.6	P	0.000244
200092_s_at	10301.6	P	0.000244
200093_s_at	1694.5	P	0.000244
200094_s_at	4820.4	P	0.000244
200095_x_at	23767	P	0.000244
200096_s_at	1490.6	P	0.008057
200097_s_at	3900	P	0.000732
200098_s_at	3552.9	P	0.000244
200099_s_at	24739.1	P	0.000244
200593_s_at	2322.7	P	0.000244
200594_x_at	5051.1	P	0.000244
200595_s_at	1084.9	P	0.000244
