^SAMPLE = GSM705823
!Sample_title = SJHYPO137
!Sample_geo_accession = GSM705823
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 6_Hypo
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with hypodiploid karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705823/suppl/GSM705823.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1246.9	P	0.013092
1053_at	328.1	P	0.004863
117_at	134.5	A	0.52062
121_at	1134.1	P	0.014937
1255_g_at	18.5	A	0.837065
1294_at	2744	P	0.000219
1316_at	210.2	A	0.175989
1320_at	23.8	A	0.88284
1405_i_at	2700.9	P	0.002607
1431_at	164.6	A	0.175989
1438_at	39.3	A	0.837065
1487_at	570.3	A	0.081337
1494_f_at	421.4	A	0.098054
1598_g_at	875.2	M	0.05447
160020_at	525.4	A	0.098054
1729_at	971.4	P	0.001354
1773_at	294.2	A	0.35869
177_at	190	A	0.581931
179_at	1021.2	A	0.218983
1861_at	116.7	A	0.602006
200000_s_at	3645.3	P	0.000244
200001_at	4296.3	P	0.000244
200002_at	13574.5	P	0.000244
200003_s_at	31131.1	P	0.000244
200004_at	6418	P	0.000732
200005_at	4369.1	P	0.000244
200006_at	4809.3	P	0.000732
200007_at	5455.1	P	0.000244
200008_s_at	4107.7	P	0.000244
200009_at	7457.4	P	0.000244
200010_at	21000.1	P	0.000244
200011_s_at	1332.3	P	0.000732
200012_x_at	26615.7	P	0.000244
200013_at	17066.5	P	0.000244
200014_s_at	2669.4	P	0.000244
200015_s_at	1964.2	P	0.000244
200016_x_at	20178.1	P	0.000244
200017_at	18272.7	P	0.000244
200018_at	22875.1	P	0.000244
200019_s_at	20877.7	P	0.000244
200020_at	1859.5	P	0.000244
200021_at	36692.9	P	0.001221
200022_at	23056.9	P	0.000244
200023_s_at	6961.3	P	0.000244
200024_at	13545.3	P	0.000732
200025_s_at	22554.7	P	0.000244
200026_at	30537.5	P	0.000732
200027_at	2439.4	P	0.000244
200028_s_at	4072.1	P	0.000244
200029_at	21744.3	P	0.000244
200030_s_at	8454.6	P	0.000244
200031_s_at	40247.4	P	0.000244
200032_s_at	32459.3	P	0.000244
200033_at	11833.4	P	0.000244
200034_s_at	16402.9	P	0.000244
200035_at	1215.5	P	0.001221
200036_s_at	12980	P	0.000244
200037_s_at	2291.8	P	0.000732
200038_s_at	24405.7	P	0.000244
200039_s_at	1853.1	P	0.000244
200040_at	2465.8	P	0.000732
200041_s_at	6926.1	P	0.000244
200042_at	2178.8	P	0.001953
200043_at	4158.3	P	0.001221
200044_at	2416.4	P	0.000244
200045_at	1717.1	P	0.000244
200046_at	1308.9	P	0.000732
200047_s_at	2013.7	P	0.000244
200048_s_at	3722.5	P	0.000244
200049_at	790.2	P	0.000244
200050_at	1426.1	P	0.000732
