ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1649.7,P,0.003585
1053_at,288.7,P,0.043968
117_at,107.2,A,0.378184
121_at,2038.2,P,0.008689
1255_g_at,129.7,A,0.138765
1294_at,747.6,P,0.000562
1316_at,253.1,P,0.017001
1320_at,46.5,A,0.697453
1405_i_at,14.4,A,0.635055
1431_at,172.6,P,0.048995
1438_at,129.8,A,0.541184
1487_at,585.3,A,0.098054
1494_f_at,519,P,0.024711
1598_g_at,1110.7,P,0.021866
160020_at,805.2,P,0.039365
1729_at,309.4,A,0.234557
1773_at,90.4,A,0.35869
177_at,489.8,P,0.011447
179_at,1410.2,A,0.081337
1861_at,233.2,A,0.127645
200000_s_at,5548.7,P,0.001953
200001_at,2582.9,P,0.001953
200002_at,13590.3,P,0.000244
200003_s_at,23084.7,P,0.000244
200004_at,8614.2,P,0.000244
200005_at,5879.7,P,0.000244
200006_at,1518.4,P,0.000244
200007_at,5552.5,P,0.000244
200008_s_at,2299.7,P,0.000244
200009_at,2939.5,P,0.000244
200010_at,17918.5,P,0.000244
200011_s_at,1106.5,P,0.00415
200012_x_at,28095.3,P,0.000244
200013_at,19545.5,P,0.000244
200014_s_at,2012,P,0.000244
200015_s_at,3164.3,P,0.000732
200016_x_at,32867.4,P,0.000244
200017_at,17691.3,P,0.000244
200018_at,29924.2,P,0.000244
200019_s_at,21949.8,P,0.000244
200020_at,2671.4,P,0.000244
200021_at,20661.9,P,0.001221
200022_at,23229.6,P,0.000244
200023_s_at,8970.9,P,0.000244
200024_at,14998.6,P,0.001221
200025_s_at,22266.4,P,0.000244
200026_at,28636.5,P,0.000732
200027_at,2369.2,P,0.000244
200028_s_at,1189.9,P,0.00415
200029_at,22579.3,P,0.000244
200030_s_at,15210.8,P,0.000244
200031_s_at,43301.5,P,0.000244
200032_s_at,32606.6,P,0.000244
200033_at,19658.8,P,0.000244
200034_s_at,15346.3,P,0.000244
200035_at,1392.5,P,0.00415
200036_s_at,7136.2,P,0.000244
200037_s_at,2371.6,P,0.000732
200038_s_at,27310.4,P,0.000244
200039_s_at,1253.7,P,0.00415
200040_at,2672.4,P,0.000244
200041_s_at,10218.6,P,0.000244
200042_at,1741.8,P,0.008057
200043_at,2978.2,P,0.001953
200044_at,2399.1,P,0.000244
200045_at,2474.5,P,0.000244
200046_at,298.1,A,0.111572
200047_s_at,2456.4,P,0.000244
200048_s_at,3646.1,P,0.000244
200049_at,1094.6,P,0.000244
200050_at,718.6,P,0.001953
200051_at,643,P,0.000732
200052_s_at,2151.1,P,0.000244
200053_at,1356,P,0.000244
200054_at,291.9,P,0.023926
200055_at,2439.9,P,0.000244
200056_s_at,247.6,P,0.00293
200057_s_at,9378.8,P,0.000244
200058_s_at,7015.8,P,0.000244
200059_s_at,13695,P,0.000244
200060_s_at,4776.1,P,0.000732
200061_s_at,23541.7,P,0.000244
200062_s_at,26227.9,P,0.000244
200063_s_at,9993.4,P,0.000244
200064_at,5944.5,P,0.000732
200065_s_at,5846.1,P,0.000244
200066_at,1285.4,P,0.001953
200067_x_at,1876.4,P,0.000732
200068_s_at,1299.6,P,0.000244
200069_at,664,P,0.001953
200070_at,745.2,P,0.000732
200071_at,1036.9,P,0.000732
200072_s_at,8132.2,P,0.000244
200073_s_at,2597.4,P,0.000244
200074_s_at,6775.4,P,0.000244
200075_s_at,2106,P,0.000244
200076_s_at,667.1,P,0.00293
200077_s_at,8811.4,P,0.000244
200078_s_at,2900.4,P,0.00293
200079_s_at,2218.4,P,0.000244
200080_s_at,12213.1,P,0.000244
200081_s_at,25299.4,P,0.000244
200082_s_at,23115.5,P,0.000244
200083_at,3498.2,P,0.000732
200084_at,1133.7,P,0.000244
200085_s_at,1724.2,P,0.001221
200086_s_at,4771.2,P,0.000244
200087_s_at,2719.9,P,0.000244
200088_x_at,18204.3,P,0.000244
200089_s_at,10884.6,P,0.000244
200090_at,1532.5,P,0.001953
200091_s_at,6798.2,P,0.000244
200092_s_at,15818.6,P,0.000244
200093_s_at,2185.8,P,0.000244
200094_s_at,5105.2,P,0.000244
200095_x_at,39369.3,P,0.000244
200096_s_at,898.8,P,0.00293
200097_s_at,7201,P,0.000244
200098_s_at,1583.2,P,0.001953
200099_s_at,34293.9,P,0.000244
200593_s_at,1954.4,P,0.000244
200594_x_at,3447.9,P,0.000244
200595_s_at,1325.7,P,0.000244
200596_s_at,1304.3,P,0.000244
200597_at,666.5,P,0.00415
200598_s_at,1366.5,P,0.000244
200599_s_at,4091.2,P,0.000244
200600_at,5328.8,P,0.000244
200601_at,987.7,P,0.001953
200602_at,154.9,P,0.046143
200603_at,899.7,P,0.000244
200604_s_at,828.7,P,0.001221
200605_s_at,1227.3,P,0.000244
200606_at,167.8,P,0.023926
200607_s_at,1618.6,P,0.001953
200608_s_at,1541.5,P,0.000244
200609_s_at,2811.3,P,0.000244
200610_s_at,5261.8,P,0.000732
200611_s_at,3334.6,P,0.001953
200612_s_at,201.7,A,0.398926
200613_at,800.7,P,0.018555
200614_at,3416.8,P,0.001221
200615_s_at,178.7,A,0.533936
200616_s_at,180.1,A,0.303711
200617_at,663.2,A,0.111572
200618_at,1398.9,P,0.00293
200619_at,1236.7,P,0.018555
200620_at,2291.2,P,0.000244
200621_at,617.1,P,0.023926
200622_x_at,1214.5,A,0.111572
200623_s_at,1284.9,P,0.00415
200624_s_at,6685.1,P,0.000244
200625_s_at,2595.6,P,0.000732
200626_s_at,4676,P,0.000732
200627_at,3856.1,P,0.000244
200628_s_at,54,A,0.828613
200629_at,112.1,M,0.056152
200630_x_at,4973.2,P,0.000244
200631_s_at,3354.1,P,0.000244
200632_s_at,4004.2,P,0.000244
200633_at,27821.1,P,0.000244
200634_at,1355.8,P,0.000244
200635_s_at,189.6,A,0.171387
200636_s_at,109.7,A,0.633789
200637_s_at,49.7,A,0.696289
200638_s_at,8935.9,P,0.000244
200639_s_at,4508.7,P,0.000244
200640_at,10018.2,P,0.000244
200641_s_at,10092,P,0.000244
200642_at,2194.1,P,0.001221
200643_at,200.5,A,0.398926
200644_at,1235.2,P,0.000244
200645_at,5415.8,P,0.000244
200646_s_at,357.3,M,0.056152
200647_x_at,1655.1,P,0.018555
200648_s_at,298.1,A,0.111572
200649_at,508.8,M,0.056152
200650_s_at,2228.3,P,0.000244
200651_at,18506.8,P,0.000244
200652_at,1854.6,P,0.000732
200653_s_at,1549.1,P,0.000244
200654_at,3515.9,P,0.018555
200655_s_at,2633.8,P,0.000244
