^SAMPLE = GSM705686
!Sample_title = SJINF062
!Sample_geo_accession = GSM705686
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705686/suppl/GSM705686.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	305.7	A	0.204022
1053_at	276.8	P	0.019304
117_at	143.6	A	0.162935
121_at	1294.2	P	0.003067
1255_g_at	66.4	A	0.397994
1294_at	620.9	P	0.014937
1316_at	190	P	0.006532
1320_at	152.5	A	0.458816
1405_i_at	16.6	A	0.818657
1431_at	100.7	A	0.162935
1438_at	105.5	A	0.47938
1487_at	666.8	P	0.031336
1494_f_at	291.1	A	0.081337
1598_g_at	527.4	A	0.107301
160020_at	602.8	P	0.009985
1729_at	313.2	A	0.089405
1773_at	197.4	A	0.35869
177_at	208.7	M	0.060419
179_at	727.2	A	0.07383
1861_at	100.5	A	0.204022
200000_s_at	2871.8	P	0.000244
200001_at	6371.8	P	0.000244
200002_at	18536.7	P	0.000244
200003_s_at	31234.2	P	0.000244
200004_at	9336.1	P	0.000244
200005_at	7364.9	P	0.000244
200006_at	8242.7	P	0.000244
200007_at	7163	P	0.000244
200008_s_at	7879.7	P	0.000244
200009_at	11738.2	P	0.000244
200010_at	26934.1	P	0.000244
200011_s_at	1742	P	0.000244
200012_x_at	25552.5	P	0.000244
200013_at	24991.1	P	0.000244
200014_s_at	4035.4	P	0.000244
200015_s_at	2083.5	P	0.000732
200016_x_at	23199.1	P	0.000244
200017_at	20379.4	P	0.000732
200018_at	34790.3	P	0.000244
200019_s_at	19829.4	P	0.000244
200020_at	1812.1	P	0.000244
200021_at	29752.4	P	0.001221
200022_at	24431.5	P	0.000244
200023_s_at	9609.4	P	0.000244
200024_at	22824.2	P	0.000244
200025_s_at	33284.1	P	0.000244
200026_at	42158.6	P	0.000732
200027_at	3130.2	P	0.000244
200028_s_at	2089.1	P	0.000732
200029_at	30031.2	P	0.000244
200030_s_at	16798.5	P	0.000244
200031_s_at	41731.6	P	0.000244
200032_s_at	42500.3	P	0.000244
200033_at	12331.8	P	0.000244
200034_s_at	23732.6	P	0.000244
200035_at	2292.6	P	0.000732
200036_s_at	25562.1	P	0.000244
200037_s_at	3338.8	P	0.000244
200038_s_at	32712.9	P	0.000244
200039_s_at	3115.5	P	0.000244
200040_at	3896.9	P	0.000244
200041_s_at	7110.6	P	0.000244
200042_at	1801.6	P	0.000732
200043_at	5591.5	P	0.000732
200044_at	3840.6	P	0.000244
200045_at	1338.5	P	0.000732
200046_at	5459.4	P	0.000244
200047_s_at	2340	P	0.000244
200048_s_at	3431.6	P	0.000244
200049_at	750.3	P	0.000244
200050_at	1054.3	P	0.001953
200051_at	491.9	P	0.000244
200052_s_at	2591.8	P	0.000244
200053_at	2293.5	P	0.000244
200054_at	333.6	P	0.001953
200055_at	3030.4	P	0.000244
200056_s_at	645.9	P	0.000732
200057_s_at	8972.2	P	0.000244
200058_s_at	2939.7	P	0.000244
200059_s_at	22458.7	P	0.000244
200060_s_at	3754.4	P	0.000732
200061_s_at	41597.4	P	0.000244
200062_s_at	40817.8	P	0.000244
200063_s_at	14544	P	0.000244
200064_at	17655.6	P	0.000732
200065_s_at	7172.6	P	0.000244
200066_at	1433.1	P	0.000732
200067_x_at	3750	P	0.000732
200068_s_at	6319.1	P	0.000244
200069_at	377.6	P	0.001221
200070_at	784.2	P	0.001221
200071_at	940.1	P	0.001221
200072_s_at	5090.2	P	0.000244
200073_s_at	3677.6	P	0.000244
200074_s_at	12217.6	P	0.000244
200075_s_at	1330.1	P	0.000732
200076_s_at	1099.9	P	0.001953
200077_s_at	18824.3	P	0.000244
200078_s_at	3608.2	P	0.001953
200079_s_at	4009.3	P	0.000732
200080_s_at	14996	P	0.000244
200081_s_at	44641.1	P	0.000244
200082_s_at	34519.8	P	0.000244
200083_at	2087	P	0.000732
200084_at	3232.6	P	0.000244
200085_s_at	3209.7	P	0.000244
200086_s_at	5412	P	0.000244
200087_s_at	3860.9	P	0.000244
200088_x_at	35708.6	P	0.000244
200089_s_at	18400.3	P	0.000244
200090_at	2982.9	P	0.000244
200091_s_at	11660.9	P	0.000244
