^SAMPLE = GSM705688
!Sample_title = SJINF068
!Sample_geo_accession = GSM705688
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 08 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705688/suppl/GSM705688.CEL.gz
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	131.5	A	0.204022
1053_at	559.7	P	0.001892
117_at	99.6	A	0.066865
121_at	1016.3	P	0.003585
1255_g_at	49.8	A	0.189687
1294_at	1297.8	P	0.000219
1316_at	111.4	M	0.05447
1320_at	51.3	A	0.67917
1405_i_at	15.8	A	0.462489
1431_at	26.9	A	0.204022
1438_at	99.1	A	0.302547
1487_at	536.6	P	0.024711
1494_f_at	165.5	P	0.039365
1598_g_at	525.5	M	0.05447
160020_at	504.6	P	0.013092
1729_at	514.7	P	0.001141
1773_at	96.8	A	0.438361
177_at	111.1	M	0.05447
179_at	672.9	M	0.05447
1861_at	128.8	M	0.060419
200000_s_at	3561.4	P	0.000244
200001_at	2946.6	P	0.000244
200002_at	15697.7	P	0.000244
200003_s_at	23687	P	0.000244
200004_at	7956.2	P	0.000244
200005_at	9414	P	0.000244
200006_at	8209.3	P	0.000244
200007_at	7171.4	P	0.000244
200008_s_at	7057.5	P	0.000244
200009_at	11450.8	P	0.000244
200010_at	17036.8	P	0.000244
200011_s_at	1408.1	P	0.000244
200012_x_at	16538	P	0.000244
200013_at	20745.3	P	0.000244
200014_s_at	3668.5	P	0.000244
200015_s_at	2611.4	P	0.000732
200016_x_at	20364.6	P	0.000244
200017_at	18799.6	P	0.000244
200018_at	20909.4	P	0.000244
200019_s_at	16207.1	P	0.000244
200020_at	2817.8	P	0.000244
200021_at	13725.6	P	0.001953
200022_at	22447.5	P	0.000244
200023_s_at	10879.8	P	0.000244
200024_at	15311.9	P	0.000244
200025_s_at	18954.6	P	0.000244
200026_at	24114	P	0.000244
200027_at	3475.9	P	0.000244
200028_s_at	3111.9	P	0.000244
200029_at	21474.7	P	0.000244
200030_s_at	10379	P	0.000244
200031_s_at	26776.2	P	0.000244
200032_s_at	23948.6	P	0.000244
200033_at	10718.6	P	0.000244
200034_s_at	17470.8	P	0.000244
200035_at	1764.5	P	0.000732
200036_s_at	16935	P	0.000244
200037_s_at	4827.3	P	0.000244
200038_s_at	20912.7	P	0.000244
200039_s_at	2591.2	P	0.000244
200040_at	5199.2	P	0.000244
200041_s_at	8798.6	P	0.000244
200042_at	1851.9	P	0.000244
200043_at	6812.5	P	0.000244
200044_at	4514.7	P	0.000244
200045_at	1899.4	P	0.000244
200046_at	3823.4	P	0.000244
200047_s_at	3109.1	P	0.000244
200048_s_at	4814.8	P	0.000244
200049_at	950.5	P	0.000244
200050_at	1630.7	P	0.000244
200051_at	495.4	P	0.000244
200052_s_at	4413.5	P	0.000244
200053_at	1770.8	P	0.000244
200054_at	450.9	P	0.000244
200055_at	3068.1	P	0.000244
200056_s_at	597.2	P	0.000244
200057_s_at	10806.1	P	0.000244
200058_s_at	3434.9	P	0.000244
200059_s_at	13148.1	P	0.000244
200060_s_at	3201	P	0.000732
200061_s_at	20809.3	P	0.000244
200062_s_at	26066.8	P	0.000244
200063_s_at	14902.7	P	0.000244
200064_at	14271.7	P	0.000244
200065_s_at	4573.7	P	0.000244
200066_at	1798.5	P	0.000244
200067_x_at	2804.3	P	0.000244
200068_s_at	6130.7	P	0.000244
200069_at	788.2	P	0.000244
200070_at	602.8	P	0.000244
200071_at	1249.1	P	0.001221
200072_s_at	4929.5	P	0.000244
200073_s_at	4515	P	0.000244
200074_s_at	11401.4	P	0.000244
200075_s_at	726	P	0.000244
