^SAMPLE = GSM705689
!Sample_title = SJMLL035
!Sample_geo_accession = GSM705689
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705689/suppl/GSM705689.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	525.4	A	0.175989
1053_at	531.2	P	0.039365
117_at	270.3	A	0.189687
121_at	2179.6	P	0.008689
1255_g_at	121.3	A	0.64131
1294_at	1005.5	P	0.000219
1316_at	209.9	M	0.05447
1320_at	232.5	A	0.438361
1405_i_at	114.8	A	0.65838
1431_at	144.1	A	0.204022
1438_at	381	A	0.07383
1487_at	414.9	A	0.250724
1494_f_at	620.7	P	0.014937
1598_g_at	1343.3	P	0.024711
160020_at	1319	P	0.011447
1729_at	498.1	A	0.081337
1773_at	113.8	A	0.64131
177_at	388.1	A	0.066865
179_at	1163.7	A	0.11716
1861_at	168.8	A	0.602006
200000_s_at	1814.1	P	0.000244
200001_at	5460.7	P	0.000732
200002_at	18833.8	P	0.000244
200003_s_at	20969.5	P	0.000244
200004_at	6401.9	P	0.000244
200005_at	5830.1	P	0.000244
200006_at	6176.6	P	0.000732
200007_at	6900.9	P	0.000244
200008_s_at	4235.3	P	0.000244
200009_at	9388.9	P	0.000244
200010_at	21841.7	P	0.000244
200011_s_at	2001.3	P	0.001221
200012_x_at	22074.6	P	0.000244
200013_at	17581.6	P	0.000244
200014_s_at	2276.6	P	0.000244
200015_s_at	2014	P	0.00293
200016_x_at	26385.4	P	0.000244
200017_at	14647.8	P	0.000244
200018_at	30002	P	0.000244
200019_s_at	19629.8	P	0.000244
200020_at	1581.5	P	0.000244
200021_at	31534.9	P	0.001221
200022_at	18704	P	0.000244
200023_s_at	10189.2	P	0.000244
200024_at	16781.4	P	0.000732
200025_s_at	27917.4	P	0.000244
200026_at	39904.6	P	0.000732
200027_at	1869.7	P	0.000244
200028_s_at	1644.9	P	0.00415
200029_at	27405.2	P	0.000244
200030_s_at	8185.9	P	0.000244
200031_s_at	32375.4	P	0.000244
200032_s_at	43889.6	P	0.000244
200033_at	9251.3	P	0.000244
200034_s_at	21716.8	P	0.000244
200035_at	1077.6	P	0.005859
200036_s_at	16389.2	P	0.000244
200037_s_at	3144.2	P	0.000732
200038_s_at	29643.2	P	0.000244
200039_s_at	2294.5	P	0.001953
200040_at	3413.7	P	0.000732
200041_s_at	4632.9	P	0.000244
200042_at	1743	P	0.005859
200043_at	4727.7	P	0.001221
200044_at	2916	P	0.000244
200045_at	1090.2	P	0.010742
200046_at	4583.9	P	0.000244
200047_s_at	1655	P	0.000244
200048_s_at	4000.4	P	0.000244
200049_at	1008.2	P	0.01416
200050_at	975.1	P	0.000244
200051_at	779.5	P	0.00293
