^SAMPLE = GSM705691
!Sample_title = SJMLL034
!Sample_geo_accession = GSM705691
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705691/suppl/GSM705691.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	266.5	A	0.07383
1053_at	637.9	P	0.001354
117_at	159.1	A	0.175989
121_at	1308.3	P	0.000959
1255_g_at	74.9	A	0.162935
1294_at	1906.3	P	0.000219
1316_at	101.2	P	0.035163
1320_at	81.7	A	0.561639
1405_i_at	177.1	P	0.002607
1431_at	56.6	A	0.098054
1438_at	67.9	A	0.378184
1487_at	646.2	P	0.043968
1494_f_at	249.5	A	0.089405
1598_g_at	580.1	P	0.024711
160020_at	673.8	P	0.019304
1729_at	413	P	0.002228
1773_at	207	A	0.250724
177_at	239.7	P	0.00418
179_at	817	P	0.039365
1861_at	239.2	P	0.021866
200000_s_at	3522.1	P	0.000244
200001_at	3951.2	P	0.000732
200002_at	14569.3	P	0.000244
200003_s_at	25700.4	P	0.000244
200004_at	8019.9	P	0.000244
200005_at	8373.3	P	0.000244
200006_at	5635.9	P	0.000244
200007_at	8221.9	P	0.000244
200008_s_at	5635.3	P	0.000244
200009_at	11456.8	P	0.000244
200010_at	20520.1	P	0.000244
200011_s_at	1672	P	0.000244
200012_x_at	19853.8	P	0.000244
200013_at	20009.5	P	0.000244
200014_s_at	2618.4	P	0.000244
200015_s_at	1833.1	P	0.000732
200016_x_at	25704.8	P	0.000244
200017_at	18104.7	P	0.000732
200018_at	22963.8	P	0.000244
200019_s_at	16907.6	P	0.000244
200020_at	2135.5	P	0.000244
200021_at	18886.6	P	0.001953
200022_at	21921.8	P	0.000244
200023_s_at	8991.7	P	0.000244
200024_at	17647.5	P	0.000244
200025_s_at	19480	P	0.000244
200026_at	30124.3	P	0.000732
200027_at	2926.9	P	0.000244
200028_s_at	2386.3	P	0.000244
200029_at	21428.8	P	0.000244
200030_s_at	11192.4	P	0.000244
200031_s_at	32927.9	P	0.000244
200032_s_at	31154.6	P	0.000244
200033_at	10865.2	P	0.000244
200034_s_at	19017.3	P	0.000244
200035_at	1559.1	P	0.000732
200036_s_at	16551.3	P	0.000244
200037_s_at	4240	P	0.000244
200038_s_at	23149.3	P	0.000244
200039_s_at	2278.3	P	0.000244
200040_at	5171.3	P	0.000244
200041_s_at	8094.4	P	0.000244
200042_at	1795.3	P	0.000244
200043_at	5916.1	P	0.000244
200044_at	3520.1	P	0.000244
200045_at	1431.5	P	0.000244
200046_at	8026.1	P	0.000244
200047_s_at	2208.2	P	0.000244
200048_s_at	4378.4	P	0.000244
200049_at	727.4	P	0.000244
200050_at	1206.4	P	0.000244
200051_at	486.8	P	0.000244
