^SAMPLE = GSM705707
!Sample_title = SJINF001
!Sample_geo_accession = GSM705707
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705707/suppl/GSM705707.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	116.1	A	0.47938
1053_at	501	P	0.006532
117_at	184.5	A	0.189687
121_at	1650.4	P	0.005643
1255_g_at	91.5	A	0.5
1294_at	811	P	0.004863
1316_at	230.6	A	0.127645
1320_at	57.4	A	0.602006
1405_i_at	139.4	A	0.51252
1431_at	11.6	A	0.52062
1438_at	404.8	A	0.234557
1487_at	820	A	0.098054
1494_f_at	306.3	M	0.060419
1598_g_at	786	A	0.11716
160020_at	1213.7	P	0.019304
1729_at	152.4	A	0.541184
1773_at	262.2	A	0.35869
177_at	193.6	A	0.204022
179_at	1267.9	M	0.060419
1861_at	250.9	A	0.250724
200000_s_at	3196.8	P	0.000244
200001_at	5482.3	P	0.000732
200002_at	18874.2	P	0.000244
200003_s_at	27867.6	P	0.000244
200004_at	7124.5	P	0.000244
200005_at	9611.5	P	0.000244
200006_at	8733.3	P	0.000732
200007_at	7192.2	P	0.000244
200008_s_at	9456.6	P	0.000244
200009_at	13756.3	P	0.000244
200010_at	26146.1	P	0.000244
200011_s_at	1309.3	M	0.056152
200012_x_at	21758	P	0.000244
200013_at	17284.1	P	0.000244
200014_s_at	3208.6	P	0.000244
200015_s_at	1786.4	P	0.000732
200016_x_at	33091.5	P	0.000244
200017_at	15942.7	P	0.000244
200018_at	36421.3	P	0.000244
200019_s_at	18445	P	0.000244
200020_at	2262.3	P	0.000244
200021_at	26901.3	P	0.001953
200022_at	16928.8	P	0.000244
200023_s_at	9543.5	P	0.000244
200024_at	17871.7	P	0.000732
200025_s_at	30255.9	P	0.000244
200026_at	40066.5	P	0.000732
200027_at	3050.9	P	0.000244
200028_s_at	2510.8	P	0.001953
200029_at	28149.6	P	0.000244
200030_s_at	15235.2	P	0.000244
200031_s_at	33272.1	P	0.000244
200032_s_at	44160	P	0.000244
200033_at	8883.3	P	0.000244
200034_s_at	23809.8	P	0.000244
200035_at	2141.2	P	0.010742
200036_s_at	27834.7	P	0.000244
200037_s_at	2914.2	P	0.000244
200038_s_at	30733.5	P	0.000244
200039_s_at	2600.8	P	0.000244
200040_at	4157.4	P	0.000244
200041_s_at	8579.6	P	0.000244
200042_at	2124.2	P	0.001221
200043_at	5658.3	P	0.001953
200044_at	4985.7	P	0.000244
200045_at	2244.6	P	0.000732
200046_at	2709.5	P	0.000244
200047_s_at	2808.7	P	0.000244
200048_s_at	3252.9	P	0.000244
200049_at	861.3	P	0.001221
200050_at	1604.1	P	0.001953
200051_at	694.8	P	0.00415
200052_s_at	3549.6	P	0.000244
200053_at	1829.7	P	0.001221
200054_at	413.4	P	0.023926
200055_at	4159.8	P	0.000244
200056_s_at	347.9	P	0.018555
200057_s_at	11426.9	P	0.000244
200058_s_at	2351.9	P	0.000244
200059_s_at	15624.8	P	0.000244
200060_s_at	3093.5	P	0.000732
200061_s_at	37954.4	P	0.000244
200062_s_at	43896.6	P	0.000244
200063_s_at	19734.8	P	0.000244
200064_at	20296.6	P	0.000732
200065_s_at	5477.9	P	0.000244
200066_at	1588.1	P	0.000732
200067_x_at	2481	P	0.001221
200068_s_at	6953.9	P	0.018555
200069_at	591.4	P	0.001953
200070_at	670.7	P	0.023926
200071_at	904.4	P	0.00415
200072_s_at	3362.5	P	0.000244
200073_s_at	4868.5	P	0.000244
200074_s_at	14107	P	0.000244
200075_s_at	745.7	P	0.001953
200076_s_at	1380.1	P	0.000732
200077_s_at	12493	P	0.000244
200078_s_at	2930.5	P	0.00415
200079_s_at	4965.1	P	0.000732
200080_s_at	16527.6	P	0.000244
200081_s_at	37694.2	P	0.000244
200082_s_at	27080.4	P	0.000244
200083_at	1998.7	P	0.001953
200084_at	3918.3	P	0.000244
200085_s_at	2139.2	P	0.000732
200086_s_at	4384.1	P	0.000244
200087_s_at	3401.3	P	0.000244
200088_x_at	35287	P	0.000244
200089_s_at	20524	P	0.000244
200090_at	3174.3	P	0.000244
200091_s_at	12609.4	P	0.000244
200092_s_at	29990.1	P	0.000244
200093_s_at	3418.7	P	0.000244
200094_s_at	14416.7	P	0.000244
200095_x_at	50229.3	P	0.000244
200096_s_at	2031.6	P	0.000244
200097_s_at	4191.4	P	0.000244
200098_s_at	2313.8	P	0.001953
200099_s_at	41452.9	P	0.000244
200593_s_at	5027.7	P	0.000244
200594_x_at	10057.8	P	0.000244
200595_s_at	3840.3	P	0.000244
200596_s_at	1244.3	P	0.005859
200597_at	737.8	P	0.000244
200598_s_at	2111.1	P	0.00293
200599_s_at	3582.9	P	0.000244
200600_at	5967.8	P	0.000244
200601_at	1110.8	P	0.001221
200602_at	171.4	P	0.030273
200603_at	1672.8	P	0.000244
200604_s_at	1666.6	P	0.000244
200605_s_at	1858.1	P	0.000244
200606_at	79.8	A	0.592285
200607_s_at	2523.9	P	0.001221
200608_s_at	1486.6	P	0.000244
200609_s_at	2085	P	0.000732
200610_s_at	11539.8	P	0.000732
200611_s_at	3495.9	P	0.001953
200612_s_at	275.6	A	0.665527
200613_at	2253.3	P	0.001953
200614_at	6178.8	P	0.000244
200615_s_at	404.6	A	0.067627
200616_s_at	438.7	A	0.432373
200617_at	1667.5	P	0.005859
200618_at	2049.1	P	0.001221
200619_at	1500.6	P	0.037598
200620_at	2020.7	P	0.000732
200621_at	992.7	P	0.001953
200622_x_at	976.9	A	0.129639
200623_s_at	1919.8	P	0.000732
200624_s_at	5838.7	P	0.000244
200625_s_at	3794.1	P	0.000244
200626_s_at	3687.9	P	0.000244
200627_at	8210.6	P	0.000244
200628_s_at	698.1	A	0.366211
200629_at	695.6	P	0.00415
200630_x_at	10486.6	P	0.000244
200631_s_at	6204.4	P	0.000244
200632_s_at	925.2	P	0.00293
200633_at	22633.6	P	0.001953
200634_at	16774.7	P	0.000244
200635_s_at	135.1	A	0.398926
200636_s_at	30.8	A	0.904785
200637_s_at	9.4	A	0.994141
200638_s_at	5128.7	P	0.000244
200639_s_at	3171	P	0.001221
200640_at	4959.1	P	0.000244
200641_s_at	4829	P	0.000244
200642_at	3621.1	P	0.000244
200643_at	892.8	P	0.01416
200644_at	5439.9	P	0.000244
200645_at	4531.7	P	0.000244
200646_s_at	471.9	P	0.018555
200647_x_at	5041.9	P	0.000732
200648_s_at	762.3	P	0.030273
200649_at	1066.5	P	0.005859
200650_s_at	14018.3	P	0.000244
200651_at	31579.3	P	0.000244
200652_at	2973.3	P	0.000732
200653_s_at	1349.1	P	0.001221
200654_at	4560.6	P	0.008057
200655_s_at	2527.3	P	0.000244
200656_s_at	1149.7	P	0.000244
200657_at	10440.4	P	0.000244
200658_s_at	1336.8	P	0.000244
200659_s_at	443.8	A	0.080566
200660_at	755.9	A	0.067627
200661_at	515.7	A	0.27417
200662_s_at	3554.1	P	0.000244
200663_at	1918	P	0.000732
200664_s_at	816.4	P	0.018555
200665_s_at	526.8	P	0.008057
200666_s_at	817.8	P	0.000244
200667_at	2086.1	P	0.000244
200668_s_at	5226.7	P	0.000244
200669_s_at	3862	P	0.000244
200670_at	3077.7	P	0.000244
200671_s_at	449.2	A	0.129639
200672_x_at	811.1	P	0.001221
200673_at	2956.1	P	0.000244
200674_s_at	46539.8	P	0.000244
200675_at	4181.5	P	0.000244
200676_s_at	530.3	P	0.018555
200677_at	1624.5	P	0.001221
200678_x_at	2240.4	P	0.030273
200679_x_at	13093.4	P	0.000244
200680_x_at	25343.2	P	0.000244
200681_at	1494.1	P	0.000732
200682_s_at	3017.5	P	0.000244
200683_s_at	1353.2	P	0.00415
200684_s_at	596.3	P	0.00293
200685_at	279.3	P	0.005859
200686_s_at	1875.4	P	0.000732
200687_s_at	1771.7	P	0.00415
200688_at	106.9	A	0.303711
200689_x_at	29627	P	0.000244
200690_at	294.8	A	0.334473
200691_s_at	2410.4	P	0.000244
200692_s_at	1833.4	P	0.000244
200693_at	6619.7	P	0.000244
200694_s_at	1385.1	P	0.000244
200695_at	2018.6	P	0.018555
200696_s_at	3791.2	P	0.000732
200697_at	955.6	P	0.030273
200698_at	971.7	P	0.000244
200699_at	680.6	P	0.023926
200700_s_at	2413.2	P	0.000244
200701_at	1344.6	P	0.000732
200702_s_at	37.7	A	0.72583
200703_at	5540.4	P	0.000244
200704_at	1254.4	P	0.00415
200705_s_at	24740.4	P	0.000244
200706_s_at	856.1	P	0.010742
200707_at	971.5	P	0.000244
200708_at	1831.1	P	0.000244
200709_at	3078.3	P	0.000244
200710_at	1103.9	P	0.046143
200711_s_at	1673.9	P	0.000244
200712_s_at	1147	P	0.001221
200713_s_at	2929	P	0.000732
200714_x_at	1820	P	0.001221
200715_x_at	25481.8	P	0.000244
200716_x_at	59005.6	P	0.000244
200717_x_at	50671.9	P	0.000244
200718_s_at	7021.8	P	0.000244
200719_at	404.1	A	0.095215
200720_s_at	1047.9	P	0.023926
200721_s_at	881.3	P	0.023926
200722_s_at	3851.1	P	0.000732
200723_s_at	6510	P	0.000244
200724_at	204.7	A	0.533936
200725_x_at	43439.1	P	0.000244
200726_at	4364.4	P	0.000244
200727_s_at	1207.3	P	0.018555
200728_at	3108.6	P	0.000244
200729_s_at	3763.6	P	0.000732
200730_s_at	686	P	0.000244
200731_s_at	477.4	P	0.010742
200732_s_at	873.1	P	0.000244
200733_s_at	361.5	P	0.000244
200734_s_at	928.1	P	0.001953
200735_x_at	30915.6	P	0.000244
200736_s_at	7197	P	0.000244
200737_at	2263.9	P	0.000732
200738_s_at	6699.4	P	0.000244
200739_s_at	744.8	P	0.037598
200740_s_at	1727.7	P	0.000244
200741_s_at	45039.3	P	0.000244
200742_s_at	2192.7	P	0.000244
200743_s_at	1804.9	P	0.000244
200744_s_at	2049	P	0.000244
200745_s_at	3040	P	0.000244
200746_s_at	4122.3	P	0.001221
200747_s_at	1029.8	P	0.008057
200748_s_at	2580.5	P	0.000244
200749_at	1225.9	P	0.000732
200750_s_at	10244.8	P	0.000244
200751_s_at	3548.2	P	0.000244
200752_s_at	773.9	P	0.005859
200753_x_at	2411.9	P	0.001221
200754_x_at	7796	P	0.000244
200755_s_at	685.9	A	0.067627
200756_x_at	359.9	A	0.334473
200757_s_at	1036.8	P	0.01416
200758_s_at	633.2	A	0.067627
200759_x_at	1491.4	P	0.01416
200760_s_at	2461.1	P	0.000244
200761_s_at	3804.7	P	0.001221
200762_at	2430.1	P	0.000244
200763_s_at	44236.7	P	0.000244
200764_s_at	1111.9	P	0.001953
200765_x_at	668.9	P	0.000244
200766_at	308.6	A	0.219482
200767_s_at	681.9	P	0.030273
200768_s_at	2512.7	P	0.000244
200769_s_at	1884.1	P	0.008057
200770_s_at	372.9	P	0.018555
200771_at	661.6	P	0.030273
200772_x_at	20551.2	P	0.000244
200773_x_at	16380.7	P	0.000244
200774_at	3432.4	P	0.000244
200775_s_at	7103.7	P	0.000244
200776_s_at	1858.8	P	0.000732
200777_s_at	1769.4	P	0.000732
200778_s_at	2334.3	P	0.000244
200779_at	5088.5	P	0.000732
200780_x_at	15329	P	0.000244
200781_s_at	27366	P	0.000244
200782_at	1900.7	P	0.000732
200783_s_at	828.9	P	0.000244
200784_s_at	48.5	A	0.870361
200785_s_at	325.6	A	0.129639
200786_at	2489.6	P	0.000244
200787_s_at	560.8	P	0.023926
200788_s_at	610.8	P	0.001221
200789_at	1066.2	P	0.046143
200790_at	4238.3	P	0.000244
200791_s_at	1821.2	P	0.001953
200792_at	6418.6	P	0.001953
200793_s_at	795.4	P	0.046143
200794_x_at	3674.6	P	0.000244
200795_at	145.6	A	0.27417
200796_s_at	197.6	A	0.366211
200797_s_at	1950.3	P	0.000732
200798_x_at	1360.2	P	0.000732
200799_at	1301.6	P	0.000244
200800_s_at	542.9	P	0.00293
200801_x_at	59695.7	P	0.000244
200802_at	2085.9	P	0.000244
200803_s_at	2769.8	P	0.001953
200804_at	2380.2	P	0.000244
200805_at	412.3	A	0.171387
200806_s_at	10513	P	0.000244
200807_s_at	13954.4	P	0.000244
200808_s_at	1857.7	P	0.000244
200809_x_at	34603.5	P	0.000244
200810_s_at	953.2	P	0.000732
200811_at	1711.2	P	0.010742
200812_at	2833.4	P	0.001953
200813_s_at	917.3	A	0.067627
200814_at	5373.5	P	0.001953
200815_s_at	831	P	0.001953
200816_s_at	998.9	P	0.000732
200817_x_at	58014.3	P	0.000244
200818_at	4319	P	0.000244
200819_s_at	33531.9	P	0.000244
200820_at	1576.4	P	0.00293
200821_at	642.1	P	0.005859
200822_x_at	5965.9	P	0.000244
200823_x_at	25875.9	P	0.000244
200824_at	3029.1	P	0.000244
200825_s_at	1738.9	P	0.00415
200826_at	7776.2	P	0.000244
200827_at	353.6	A	0.129639
200828_s_at	5852.9	P	0.000732
200829_x_at	2503.6	P	0.000732
200830_at	1687.8	P	0.000244
200831_s_at	62.4	A	0.919434
200832_s_at	50.8	A	0.780518
200833_s_at	3267.4	P	0.000244
200834_s_at	23392.6	P	0.000244
200835_s_at	26.2	A	0.904785
200836_s_at	721.7	A	0.27417
200837_at	1038.9	P	0.001221
200838_at	1150.4	P	0.00415
200839_s_at	1616.8	P	0.001221
200840_at	5952.4	P	0.000244
200841_s_at	403.1	P	0.030273
200842_s_at	1457	P	0.001953
200843_s_at	1933.8	P	0.001221
200844_s_at	2645.4	P	0.000244
200845_s_at	1649.3	P	0.000244
200846_s_at	2236.7	P	0.000244
200847_s_at	1483.2	P	0.000244
200848_at	994.3	P	0.008057
200849_s_at	959.6	P	0.000244
200850_s_at	1949.4	P	0.000732
200851_s_at	1887.7	P	0.00293
200852_x_at	1449.6	P	0.018555
200853_at	5188.4	P	0.000732
200854_at	1142.5	P	0.000732
200855_at	606.1	P	0.001953
200856_x_at	415.2	P	0.010742
200857_s_at	1202.1	P	0.00415
200858_s_at	21452	P	0.000244
200859_x_at	1485.6	P	0.00293
200860_s_at	3114.6	P	0.000244
200861_at	859	P	0.023926
200862_at	698.8	P	0.023926
200863_s_at	2432.6	P	0.000732
200864_s_at	583.8	P	0.001953
200865_at	16.6	A	0.80542
200866_s_at	1854.2	P	0.001953
200867_at	541	P	0.000244
200868_s_at	1313.6	P	0.01416
200869_at	46051.9	P	0.000244
200870_at	2959.5	P	0.000244
200871_s_at	2622.8	P	0.000244
200872_at	5057.3	P	0.000732
200873_s_at	5050	P	0.000244
200874_s_at	730.8	P	0.001953
200875_s_at	2373.2	P	0.000244
200876_s_at	2481.4	P	0.000244
200877_at	7213	P	0.000244
200878_at	118.4	A	0.696289
200879_s_at	108.5	A	0.567627
200880_at	2542.5	P	0.000732
200881_s_at	3865.6	P	0.000244
200882_s_at	2359	P	0.000244
200883_at	2655.4	P	0.000244
200884_at	290	A	0.334473
200885_at	593.2	A	0.067627
200886_s_at	4697.5	P	0.000244
200887_s_at	801.5	P	0.005859
200888_s_at	37815.6	P	0.000244
200889_s_at	1062.9	P	0.000244
200890_s_at	927.2	P	0.000732
200891_s_at	1238.8	P	0.000244
200892_s_at	2895.3	P	0.000244
200893_at	6686	P	0.000244
200894_s_at	320.2	A	0.129639
200895_s_at	505	A	0.095215
200896_x_at	3856	P	0.000732
200897_s_at	197	P	0.010742
200898_s_at	867.9	M	0.056152
200899_s_at	1094	P	0.000732
200900_s_at	1315.3	P	0.001221
200901_s_at	2012.3	P	0.037598
200902_at	3000.7	P	0.000244
200903_s_at	2610.2	P	0.000244
200904_at	1429.6	P	0.000244
200905_x_at	7136	P	0.000244
200906_s_at	79.5	A	0.633789
200907_s_at	160.9	A	0.303711
200908_s_at	593.6	P	0.018555
200909_s_at	29794.6	P	0.000244
200910_at	5073.9	P	0.000732
200911_s_at	2540.4	P	0.010742
200912_s_at	10425.6	P	0.000244
200913_at	852.4	P	0.005859
200914_x_at	500.7	P	0.005859
200915_x_at	2071.8	P	0.000244
200916_at	1819.9	P	0.008057
200917_s_at	442.7	A	0.19458
200918_s_at	1755.5	P	0.001953
200919_at	1814	P	0.030273
200920_s_at	4445.3	P	0.000244
200921_s_at	2225.3	P	0.000244
200922_at	913.6	P	0.001953
200923_at	372.9	A	0.171387
200924_s_at	834.6	P	0.018555
200925_at	5366.1	P	0.000244
200926_at	60756.9	P	0.000244
200927_s_at	1444	P	0.000244
200928_s_at	71.2	A	0.567627
200929_at	1708.6	P	0.00293
200930_s_at	30.9	A	0.870361
200931_s_at	1528.4	P	0.000244
200932_s_at	995.9	P	0.030273
200933_x_at	53868.1	P	0.000244
200934_at	4513.7	P	0.000732
200935_at	1480.7	P	0.000244
200936_at	20636.4	P	0.000244
200937_s_at	24399.4	P	0.000244
200938_s_at	18.4	A	0.696289
200939_s_at	32.4	A	0.72583
200940_s_at	819.8	P	0.00415
200941_at	787.7	P	0.005859
200942_s_at	2006	P	0.005859
200943_at	5750.1	P	0.000244
200944_s_at	5517.6	P	0.000244
200945_s_at	2407.5	P	0.000244
200946_x_at	1813.7	P	0.000732
200947_s_at	1781.7	P	0.001221
200948_at	1452.1	P	0.008057
200949_x_at	25187.7	P	0.000244
200950_at	1183.9	P	0.01416
200951_s_at	19.2	A	0.919434
200952_s_at	224.4	A	0.432373
200953_s_at	719.1	P	0.018555
200954_at	499.9	A	0.149658
200955_at	1369.8	P	0.000244
200956_s_at	1340.3	P	0.000244
200957_s_at	1279.1	P	0.000244
200958_s_at	1754.5	P	0.000244
200959_at	3002	P	0.00293
200960_x_at	3563.1	P	0.001221
200961_at	488.3	P	0.000244
200962_at	1318	P	0.001221
200963_x_at	60033.9	P	0.000244
200964_at	4391	P	0.000244
200965_s_at	52.1	A	0.5
200966_x_at	9122.7	P	0.000244
200967_at	2452.7	P	0.000244
200968_s_at	2726.5	P	0.000244
200969_at	1111.2	P	0.000732
200970_s_at	1557.5	P	0.001953
200971_s_at	4454.7	P	0.001953
200972_at	3016.9	P	0.000244
200973_s_at	1341.7	P	0.000244
200974_at	462.8	P	0.023926
200975_at	2124.1	P	0.000244
200976_s_at	1863.5	P	0.000732
200977_s_at	905.5	P	0.001221
200978_at	5054.6	P	0.000732
200979_at	632.3	P	0.001953
200980_s_at	2369	P	0.000732
200981_x_at	16815.3	P	0.000244
200982_s_at	944.7	P	0.005859
200983_x_at	333	P	0.00415
200984_s_at	454.3	P	0.01416
200985_s_at	50.3	A	0.633789
200986_at	33.3	A	0.780518
200987_x_at	1019.9	P	0.023926
200988_s_at	444	A	0.080566
200989_at	1358	P	0.000244
200990_at	5234.6	P	0.000732
200991_s_at	930.7	A	0.095215
200992_at	3376.4	P	0.000244
200993_at	2372.3	P	0.000244
200994_at	2264	P	0.000732
200995_at	819.8	P	0.030273
200996_at	3067.7	P	0.000732
200997_at	1095.9	P	0.001953
200998_s_at	355.2	P	0.023926
200999_s_at	75.1	A	0.567627
201000_at	1771	P	0.030273
201001_s_at	1231.6	P	0.000244
201002_s_at	2349.6	P	0.000244
201003_x_at	1373	P	0.001953
201004_at	3721	P	0.000244
201005_at	3025.6	P	0.000732
201006_at	39.5	A	0.850342
201007_at	1819.2	P	0.000244
201008_s_at	1594.7	P	0.00415
201009_s_at	3613.6	P	0.001221
201010_s_at	4065.3	P	0.000244
201011_at	1671.2	P	0.00415
201012_at	2676.1	P	0.000244
201013_s_at	4305.8	P	0.000244
201014_s_at	2262.2	P	0.000244
201015_s_at	1820.5	P	0.001221
201016_at	881.5	P	0.000732
201017_at	1027.3	P	0.000244
201018_at	920.2	P	0.000244
201019_s_at	1908.1	P	0.000244
201020_at	1537.1	P	0.000244
201021_s_at	893	A	0.080566
201022_s_at	618.9	P	0.000244
201023_at	2141.5	P	0.000244
201024_x_at	872.5	P	0.046143
201025_at	881.3	P	0.010742
201026_at	420.1	P	0.046143
201027_s_at	1150.1	P	0.001953
201028_s_at	2980.6	P	0.000244
201029_s_at	5671.6	P	0.000244
201030_x_at	19128	P	0.000732
201031_s_at	2037.6	P	0.000244
201032_at	1004.6	P	0.018555
201033_x_at	50900.9	P	0.000244
201034_at	2159.8	P	0.000244
201035_s_at	1289.1	P	0.037598
201036_s_at	1110	P	0.001953
201037_at	1702.5	P	0.001953
201038_s_at	939.3	P	0.00415
201039_s_at	1370	P	0.000732
201040_at	1607.7	P	0.037598
201041_s_at	4332.1	P	0.001221
201042_at	200.3	A	0.219482
201043_s_at	212.3	P	0.037598
201044_x_at	143.1	A	0.533936
201045_s_at	169.2	A	0.753906
201046_s_at	1075.7	A	0.095215
201047_x_at	1581.6	P	0.000244
201048_x_at	417.8	P	0.018555
201049_s_at	64012.4	P	0.000244
201050_at	425.5	A	0.19458
201051_at	6259.9	P	0.000244
201052_s_at	989.8	P	0.000732
201053_s_at	425.4	P	0.010742
201054_at	3384.4	P	0.000244
201055_s_at	503.4	A	0.067627
201056_at	460	P	0.01416
201057_s_at	926.2	P	0.046143
201058_s_at	12.3	A	0.976074
201059_at	342.3	A	0.171387
201060_x_at	1068.7	P	0.010742
201061_s_at	1019.5	P	0.00415
201062_at	9.1	A	0.953857
201063_at	620.1	P	0.000732
201064_s_at	4335.1	P	0.000244
201065_s_at	2188.8	P	0.001953
201066_at	1700.4	P	0.010742
201067_at	696.8	A	0.149658
201068_s_at	1450.8	P	0.000244
201069_at	195.4	A	0.171387
201070_x_at	1417.4	P	0.00415
201071_x_at	6553.7	P	0.001221
201072_s_at	380.2	A	0.149658
201073_s_at	1337.5	P	0.000244
201074_at	1547	P	0.001221
201075_s_at	1720.6	P	0.000244
201076_at	1205.9	P	0.005859
201077_s_at	3929.5	P	0.000244
201078_at	2947.8	P	0.000244
201079_at	761.8	P	0.030273
201080_at	547.2	P	0.01416
201081_s_at	826.1	A	0.219482
201082_s_at	771	P	0.000244
201083_s_at	336.7	P	0.010742
201084_s_at	3151.6	P	0.000244
201085_s_at	841.5	A	0.171387
201086_x_at	3623.7	P	0.000732
201087_at	319.7	A	0.432373
201088_at	2201.8	P	0.000244
201089_at	1014.3	P	0.001221
201090_x_at	24803.3	P	0.010742
201091_s_at	1516.2	P	0.010742
201092_at	3235.8	P	0.000244
201093_x_at	806.1	P	0.01416
201094_at	40677.5	P	0.000244
201095_at	1222.6	P	0.018555
201096_s_at	1203.4	P	0.000732
201097_s_at	1632.1	P	0.000244
