^SAMPLE = GSM706038
!Sample_title = CD10CD19_3
!Sample_geo_accession = GSM706038
!Sample_status = Public on Oct 28 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Adult normal bone marrow
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: sorted CD10(+) CD19(+) cells
!Sample_characteristics_ch1 = subtype: 9_CD10CD19
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = Adult normal bone marrow; CD19 (+) CD10(+)
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM706nnn/GSM706038/suppl/GSM706038.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	876.4	P	0.009985
1053_at	498.6	P	0.00418
117_at	212	A	0.302547
121_at	1557.8	P	0.011447
1255_g_at	37.2	A	0.602006
1294_at	1193.7	P	0.000805
1316_at	207.6	P	0.035163
1320_at	45.9	A	0.749276
1405_i_at	21.8	A	0.945289
1431_at	203.9	P	0.048995
1438_at	33.3	A	0.749276
1487_at	565.1	A	0.081337
1494_f_at	502.5	A	0.081337
1598_g_at	929.8	P	0.039365
160020_at	603.6	P	0.031336
1729_at	282	A	0.339558
1773_at	156.5	A	0.52062
177_at	25.9	A	0.458816
179_at	1219.2	A	0.162935
1861_at	471.6	P	0.039365
200000_s_at	3544.4	P	0.005859
200001_at	3279	P	0.001221
200002_at	15990.8	P	0.000244
200003_s_at	29107.2	P	0.000244
200004_at	11962.4	P	0.000244
200005_at	7309.6	P	0.000244
200006_at	6273.8	P	0.000244
200007_at	8809.8	P	0.000244
200008_s_at	4393.3	P	0.000244
200009_at	7755	P	0.000244
200010_at	19933.6	P	0.000244
200011_s_at	1076.9	P	0.001953
200012_x_at	22222.6	P	0.000244
200013_at	17552.4	P	0.000244
200014_s_at	2486.1	P	0.000244
200015_s_at	1443.5	P	0.001221
200016_x_at	27288	P	0.000244
200017_at	16851.8	P	0.000244
200018_at	26792.3	P	0.000244
200019_s_at	31757.8	P	0.000244
200020_at	1718.9	P	0.000244
200021_at	34385.5	P	0.001221
200022_at	26670.4	P	0.000244
200023_s_at	10746.5	P	0.000244
200024_at	16647.7	P	0.000732
200025_s_at	23943.8	P	0.000244
200026_at	34947	P	0.000732
200027_at	1926.1	P	0.000244
200028_s_at	2391.5	P	0.000244
200029_at	28371.1	P	0.000244
200030_s_at	11860.7	P	0.000244
200031_s_at	50255	P	0.000244
200032_s_at	32579	P	0.000244
200033_at	11749.8	P	0.000244
200034_s_at	17979.3	P	0.000244
200035_at	1481.7	P	0.010742
200036_s_at	15134.3	P	0.000244
200037_s_at	2602	P	0.000732
200038_s_at	22671.2	P	0.000244
200039_s_at	2213.8	P	0.000244
200040_at	4146.9	P	0.000244
200041_s_at	4857	P	0.000244
200042_at	1775.5	P	0.008057
200043_at	6676.5	P	0.000732
200044_at	3176.3	P	0.000244
200045_at	1843	P	0.000244
200046_at	1505.6	P	0.001953
200047_s_at	2326.1	P	0.000244
200048_s_at	5178.4	P	0.000244
