ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,823.1,P,0.008689
1053_at,556.7,P,0.002617
117_at,74.1,A,0.339558
121_at,1379.2,P,0.00418
1255_g_at,88.5,A,0.234557
1294_at,764.4,P,0.000562
1316_at,231,P,0.031336
1320_at,27.9,A,0.52062
1405_i_at,5.7,A,0.979337
1431_at,83.9,A,0.250724
1438_at,111.7,A,0.378184
1487_at,485.8,A,0.138765
1494_f_at,410.8,P,0.048995
1598_g_at,642.1,A,0.066865
160020_at,629.9,P,0.004863
1729_at,338,P,0.021866
1773_at,233.7,A,0.267463
177_at,96,A,0.250724
179_at,1021,A,0.138765
1861_at,305.4,P,0.043968
200000_s_at,3073.1,P,0.000732
200001_at,1585.1,P,0.001953
200002_at,18366.5,P,0.000244
200003_s_at,30820.3,P,0.000244
200004_at,11316,P,0.000244
200005_at,5376.2,P,0.000244
200006_at,6121.9,P,0.000244
200007_at,8359.9,P,0.000244
200008_s_at,4662.6,P,0.000244
200009_at,7589.6,P,0.000244
200010_at,20003.8,P,0.000244
200011_s_at,970.8,P,0.001953
200012_x_at,27432.5,P,0.000244
200013_at,21578.9,P,0.000244
200014_s_at,3297.3,P,0.000244
200015_s_at,1686.7,P,0.001221
200016_x_at,28081,P,0.000244
200017_at,19794.7,P,0.000732
200018_at,29118.8,P,0.000244
200019_s_at,28110.8,P,0.000244
200020_at,2542.2,P,0.000244
200021_at,33087.8,P,0.001221
200022_at,26175.5,P,0.000244
200023_s_at,9695.2,P,0.000244
200024_at,19885.7,P,0.000244
200025_s_at,23095,P,0.000244
200026_at,26177.9,P,0.001221
200027_at,2241,P,0.000244
200028_s_at,3034.5,P,0.000244
200029_at,23935.1,P,0.000244
200030_s_at,12506,P,0.000244
200031_s_at,49644.5,P,0.000244
200032_s_at,30744.3,P,0.000244
200033_at,12590.1,P,0.000244
200034_s_at,19411.3,P,0.000244
200035_at,827.1,P,0.008057
200036_s_at,13176.1,P,0.000244
