^SAMPLE = GSM705853
!Sample_title = SJTALL136
!Sample_geo_accession = GSM705853
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705853/suppl/GSM705853.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	395.5	M	0.05447
1053_at	722.1	P	0.001141
117_at	135.3	A	0.267463
121_at	972.7	P	0.035163
1255_g_at	16.7	A	0.749276
1294_at	925.8	P	0.000673
1316_at	160.5	P	0.009985
1320_at	8.6	A	0.991311
1405_i_at	152.4	A	0.216313
1431_at	13.6	A	0.5
1438_at	42.1	A	0.849473
1487_at	553.3	A	0.127645
1494_f_at	362.4	A	0.11716
1598_g_at	647.5	A	0.098054
160020_at	663.5	P	0.017001
1729_at	410.2	P	0.021866
1773_at	213.7	A	0.339558
177_at	18.6	A	0.837065
179_at	869	A	0.339558
1861_at	162	A	0.175989
200000_s_at	3485.2	P	0.000244
200001_at	2674.6	P	0.00293
200002_at	14698.5	P	0.000244
200003_s_at	26651.6	P	0.000244
200004_at	10170.5	P	0.000244
200005_at	6388.9	P	0.000244
200006_at	7119.4	P	0.000244
200007_at	7497.1	P	0.000244
200008_s_at	3487.6	P	0.000244
200009_at	7404.7	P	0.000244
200010_at	15382.5	P	0.000244
200011_s_at	1139.2	P	0.001221
200012_x_at	14320.2	P	0.000244
200013_at	22431.6	P	0.000244
200014_s_at	3510.7	P	0.000244
200015_s_at	3052.6	P	0.001221
200016_x_at	24254.3	P	0.000244
200017_at	10904.3	P	0.000244
200018_at	20451.7	P	0.000244
200019_s_at	14362.9	P	0.000244
200020_at	3113.4	P	0.000244
200021_at	24338.4	P	0.001953
200022_at	17854.7	P	0.000244
200023_s_at	6179.4	P	0.000244
200024_at	12524.3	P	0.000732
200025_s_at	21994.9	P	0.000244
200026_at	26695.8	P	0.000732
200027_at	3697.5	P	0.000244
200028_s_at	4259.9	P	0.000732
200029_at	18993.6	P	0.000244
200030_s_at	11834.5	P	0.000244
200031_s_at	32172.7	P	0.000244
200032_s_at	28898.4	P	0.000244
200033_at	10135.2	P	0.000244
200034_s_at	18847.7	P	0.000244
200035_at	1468.9	P	0.001221
200036_s_at	19633.1	P	0.000244
200037_s_at	4741.7	P	0.000244
200038_s_at	20899.7	P	0.000244
200039_s_at	4499.1	P	0.000244
200040_at	5276.1	P	0.000244
200041_s_at	10449.9	P	0.000244
200042_at	1622.2	P	0.000244
200043_at	8278.6	P	0.000244
200044_at	4799.8	P	0.000244
200045_at	1695.8	P	0.001953
200046_at	1725.2	P	0.000732
200047_s_at	3465.6	P	0.000244
200048_s_at	4376.8	P	0.000244
200049_at	981.2	P	0.000244
200050_at	2172	P	0.001221
