^SAMPLE = GSM705861
!Sample_title = SJTALL065
!Sample_geo_accession = GSM705861
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 08 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705861/suppl/GSM705861.CEL.gz
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	357.8	A	0.234557
1053_at	596.4	P	0.014937
117_at	100.7	A	0.47938
121_at	1434.2	P	0.009985
1255_g_at	194.8	A	0.175989
1294_at	1126.7	P	0.008689
1316_at	329.1	P	0.048995
1320_at	25.8	A	0.975289
1405_i_at	403.3	P	0.007827
1431_at	174	A	0.150527
1438_at	55.3	A	0.901946
1487_at	760.8	A	0.098054
1494_f_at	506.2	A	0.066865
1598_g_at	782.9	A	0.107301
160020_at	830.6	P	0.02786
1729_at	382.6	P	0.013092
1773_at	153	A	0.35869
177_at	137.1	A	0.35869
179_at	1307.3	A	0.066865
1861_at	268.8	A	0.218983
200000_s_at	2255	P	0.000244
200001_at	2689.5	P	0.001953
200002_at	11842	P	0.000244
200003_s_at	26791.6	P	0.000244
200004_at	7956.2	P	0.000244
200005_at	3072.2	P	0.000244
200006_at	4988.1	P	0.000244
200007_at	6864.4	P	0.000244
200008_s_at	3632.8	P	0.000244
200009_at	6789.9	P	0.000244
200010_at	10916.8	P	0.000244
200011_s_at	1687.9	P	0.001953
200012_x_at	18852.2	P	0.000244
200013_at	17923.3	P	0.000244
200014_s_at	2730.9	P	0.000244
200015_s_at	2003	P	0.001221
200016_x_at	23389.9	P	0.000244
200017_at	14129.3	P	0.000244
200018_at	22593.3	P	0.000244
200019_s_at	22783.1	P	0.000244
200020_at	1411.4	P	0.000244
200021_at	26700.1	P	0.001953
200022_at	19706.8	P	0.000244
200023_s_at	5981.2	P	0.000244
200024_at	15145.6	P	0.000732
200025_s_at	18076.5	P	0.000244
200026_at	23848.4	P	0.000732
200027_at	2664.2	P	0.000244
200028_s_at	3462.3	P	0.001221
200029_at	20233.3	P	0.000244
200030_s_at	8327	P	0.000244
200031_s_at	38010	P	0.000244
200032_s_at	27762.3	P	0.000244
200033_at	7317.8	P	0.000244
200034_s_at	12617	P	0.000244
200035_at	934.4	P	0.01416
200036_s_at	10769.3	P	0.000244
200037_s_at	3000.3	P	0.000732
200038_s_at	16917.2	P	0.000244
200039_s_at	4663.8	P	0.000244
200040_at	2252.9	P	0.000732
200041_s_at	5262.9	P	0.000244
200042_at	1625.7	P	0.008057
200043_at	7106.3	P	0.000244
200044_at	4127.4	P	0.000244
200045_at	2026.3	P	0.000244
200046_at	2269.3	P	0.000244
200047_s_at	2963.4	P	0.000244
200048_s_at	3248	P	0.000244
200049_at	743.1	P	0.000244
