^SAMPLE = GSM705885
!Sample_title = SJTALL037
!Sample_geo_accession = GSM705885
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705885/suppl/GSM705885.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	619.6	P	0.048995
1053_at	192.4	M	0.05447
117_at	165	A	0.234557
121_at	1237.5	P	0.019304
1255_g_at	95.2	A	0.339558
1294_at	1221.6	P	0.000673
1316_at	91.8	A	0.089405
1320_at	65	A	0.602006
1405_i_at	230.8	P	0.017732
1431_at	68.3	A	0.35869
1438_at	48.2	A	0.810313
1487_at	682.8	A	0.081337
1494_f_at	562.9	P	0.013092
1598_g_at	842	A	0.138765
160020_at	642.6	P	0.035163
1729_at	645.4	P	0.002228
1773_at	259.1	A	0.218983
177_at	84.9	A	0.339558
179_at	1330.1	M	0.060419
1861_at	238.5	A	0.150527
200000_s_at	4322.3	P	0.000244
200001_at	3708.4	P	0.001221
200002_at	12100	P	0.000244
200003_s_at	30842.5	P	0.000244
200004_at	11746.4	P	0.000244
200005_at	4652.7	P	0.000244
200006_at	4176.2	P	0.000244
200007_at	8143.7	P	0.000244
200008_s_at	3571.1	P	0.000244
200009_at	6125.8	P	0.000244
200010_at	13368.5	P	0.000244
200011_s_at	1620.9	P	0.000244
200012_x_at	28018.3	P	0.000244
200013_at	17183.9	P	0.000244
200014_s_at	2602.2	P	0.000244
200015_s_at	2184.8	P	0.000732
200016_x_at	27201.3	P	0.000244
200017_at	15704.7	P	0.000244
200018_at	28683.2	P	0.000244
200019_s_at	20098.2	P	0.000244
200020_at	2533.5	P	0.000244
200021_at	42281.7	P	0.001953
200022_at	25415.1	P	0.000244
200023_s_at	8068.8	P	0.000244
200024_at	15826.2	P	0.001221
200025_s_at	16341.3	P	0.000244
200026_at	18232.1	P	0.000732
200027_at	2585.4	P	0.000244
200028_s_at	2231	P	0.000244
200029_at	25039	P	0.000244
200030_s_at	8203.6	P	0.000244
200031_s_at	40587.6	P	0.000244
200032_s_at	25632.7	P	0.000244
200033_at	12087.4	P	0.000244
200034_s_at	16604.4	P	0.000244
200035_at	1745.9	P	0.00293
200036_s_at	9826.5	P	0.000244
200037_s_at	3499.9	P	0.000244
200038_s_at	23721.7	P	0.000244
200039_s_at	3387.2	P	0.000244
200040_at	4040.7	P	0.000244
200041_s_at	8102.8	P	0.000244
200042_at	1643.5	P	0.000732
200043_at	5058.5	P	0.000732
200044_at	2799.9	P	0.000244
200045_at	2065.3	P	0.000244
200046_at	1583.6	P	0.000244
200047_s_at	3058	P	0.000732
200048_s_at	5130.3	P	0.001953
200049_at	531.5	P	0.000244
200050_at	987.2	P	0.001953
200051_at	638.3	P	0.000244
200052_s_at	2763.5	P	0.000244
200053_at	1377.2	P	0.000244
200054_at	396.1	P	0.008057
200055_at	3394.2	P	0.000244
200056_s_at	210	P	0.01416
200057_s_at	10464.4	P	0.000244
200058_s_at	4060	P	0.000244
200059_s_at	9835	P	0.000244
200060_s_at	1975	P	0.000732
200061_s_at	31885	P	0.000244
200062_s_at	22692.8	P	0.000244
200063_s_at	13779.2	P	0.000244
200064_at	13588.8	P	0.000732
200065_s_at	4844	P	0.000244
200066_at	1305.5	P	0.000244
200067_x_at	1536	P	0.000732
200068_s_at	5887.9	P	0.000244
200069_at	665.6	P	0.001953
200070_at	677	P	0.000732
200071_at	555	P	0.010742
200072_s_at	7190.8	P	0.000244
200073_s_at	3366.4	P	0.000244
200074_s_at	5988.5	P	0.000244
200075_s_at	3135.6	P	0.000244
200076_s_at	880.3	P	0.001221
200077_s_at	10460.1	P	0.000244
200078_s_at	1883.9	P	0.030273
200079_s_at	2917.5	P	0.000244
200080_s_at	15510.9	P	0.000244
200081_s_at	35634.5	P	0.000244
200082_s_at	15942.4	P	0.000244
200083_at	3082.7	P	0.000732
200084_at	2917	P	0.000244
200085_s_at	3231.9	P	0.000244
200086_s_at	3378.6	P	0.000244
200087_s_at	2050.6	P	0.000244
200088_x_at	25011	P	0.000244
200089_s_at	10402.2	P	0.000244
200090_at	2579.7	P	0.000732
200091_s_at	6883.3	P	0.000244
200092_s_at	18045.4	P	0.000244
200093_s_at	2395.7	P	0.000244
200094_s_at	5259.4	P	0.000244
200095_x_at	40957.1	P	0.000244
200096_s_at	1703	P	0.001221
200097_s_at	3536.5	P	0.000244
200098_s_at	3027	P	0.001221
200099_s_at	32422.7	P	0.000244
200593_s_at	2612.1	P	0.000244
200594_x_at	7647.4	P	0.000244
200595_s_at	1988.6	P	0.000244
200596_s_at	1796.1	P	0.000244
200597_at	508.6	P	0.00293
200598_s_at	1687.1	P	0.000244
200599_s_at	3115.4	P	0.000732
200600_at	4013.1	P	0.000244
200601_at	523.9	M	0.056152
200602_at	39.6	A	0.334473
200603_at	2470.4	P	0.000244
200604_s_at	1315.1	P	0.000732
200605_s_at	2078.9	P	0.000244
200606_at	120	A	0.171387
200607_s_at	1997.8	P	0.001221
200608_s_at	1186	P	0.000244
200609_s_at	3648.4	P	0.000244
200610_s_at	4152.8	P	0.000732
200611_s_at	5450.8	P	0.000732
200612_s_at	353	A	0.219482
200613_at	2450.8	P	0.001953
200614_at	4898.4	P	0.000244
200615_s_at	716.4	P	0.023926
200616_s_at	69.4	A	0.633789
200617_at	1756.9	P	0.000244
200618_at	3426.2	P	0.000244
200619_at	1841.7	P	0.008057
200620_at	2136.1	P	0.000244
200621_at	1092.5	P	0.005859
200622_x_at	997.8	P	0.010742
200623_s_at	2590.1	P	0.000732
200624_s_at	5389.3	P	0.000244
200625_s_at	2119.8	P	0.000244
200626_s_at	3321.5	P	0.000732
200627_at	5779.1	P	0.000244
200628_s_at	845.3	A	0.398926
200629_at	1102.1	P	0.000244
200630_x_at	6044.2	P	0.000244
200631_s_at	6305.6	P	0.000244
200632_s_at	895.5	P	0.000732
200633_at	26677.5	P	0.000244
200634_at	8331.4	P	0.000244
200635_s_at	110.7	A	0.246094
200636_s_at	132	A	0.533936
200637_s_at	28.4	A	0.798828
200638_s_at	6815.1	P	0.000244
200639_s_at	3755.2	P	0.000732
200640_at	10352.7	P	0.000244
200641_s_at	7063	P	0.000244
200642_at	5160.8	P	0.000732
200643_at	283.4	A	0.19458
200644_at	7299.6	P	0.000244
200645_at	4673.2	P	0.000244
200646_s_at	289.5	P	0.010742
200647_x_at	3619	P	0.01416
200648_s_at	2551.9	P	0.001221
200649_at	758.9	P	0.001953
200650_s_at	9099.4	P	0.000244
200651_at	23725.2	P	0.000244
200652_at	3121.3	P	0.000244
200653_s_at	1439.9	P	0.000244
200654_at	3040	P	0.018555
200655_s_at	1904.4	P	0.000244
200656_s_at	961.6	P	0.001953
200657_at	13164	P	0.000244
200658_s_at	1135.9	P	0.001221
200659_s_at	264.2	A	0.129639
200660_at	759.8	P	0.046143
200661_at	671.3	A	0.129639
200662_s_at	2318.1	P	0.000244
200663_at	1315.8	P	0.001953
200664_s_at	777.9	P	0.01416
200665_s_at	127.9	A	0.303711
200666_s_at	1571.6	P	0.000244
200667_at	2211.8	P	0.000244
200668_s_at	5966.1	P	0.000244
200669_s_at	2580.5	P	0.000244
200670_at	477.1	P	0.001953
200671_s_at	366.1	A	0.171387
200672_x_at	867.1	P	0.000732
200673_at	1809	P	0.001221
200674_s_at	28490.2	P	0.000244
200675_at	1836.3	P	0.000244
200676_s_at	463	P	0.000244
200677_at	3030.7	P	0.000244
200678_x_at	1047.8	P	0.030273
200679_x_at	4298.6	P	0.000244
200680_x_at	21370.1	P	0.000244
200681_at	2069.9	P	0.000732
200682_s_at	2860	P	0.000244
200683_s_at	1470.3	P	0.000244
200684_s_at	826	P	0.001221
200685_at	358.1	P	0.01416
200686_s_at	1626.5	P	0.000244
200687_s_at	1498.3	P	0.001953
200688_at	165.8	A	0.334473
200689_x_at	24811.2	P	0.000244
200690_at	427.8	A	0.171387
200691_s_at	1176.3	P	0.000244
200692_s_at	1463.9	P	0.000732
200693_at	7344.2	P	0.000244
200694_s_at	2688.3	P	0.000244
200695_at	1370.7	P	0.01416
200696_s_at	282	A	0.246094
200697_at	2994.4	P	0.005859
200698_at	595.7	P	0.001221
200699_at	478.2	P	0.023926
200700_s_at	1354.7	P	0.000244
200701_at	1321.3	P	0.000244
200702_s_at	556.3	P	0.018555
200703_at	9340.3	P	0.000732
200704_at	690.8	P	0.001221
200705_s_at	9817.8	P	0.000244
200706_s_at	597.8	P	0.023926
200707_at	626.1	P	0.030273
200708_at	2270.8	P	0.000732
200709_at	5088.5	P	0.000244
200710_at	2373.7	P	0.000732
200711_s_at	1615.9	P	0.000732
200712_s_at	1386.8	P	0.000732
200713_s_at	5012.5	P	0.000244
200714_x_at	2436.3	P	0.000244
200715_x_at	18330.2	P	0.000244
200716_x_at	47715.8	P	0.000244
200717_x_at	32667.5	P	0.000244
200718_s_at	7215.3	P	0.000244
200719_at	301	A	0.067627
200720_s_at	856.8	P	0.001953
200721_s_at	1295.5	P	0.000732
200722_s_at	2131	P	0.000244
200723_s_at	4896.1	P	0.000244
200724_at	138.1	A	0.696289
200725_x_at	32757.7	P	0.000244
200726_at	2961.5	P	0.000244
200727_s_at	1599.7	P	0.010742
200728_at	6268.1	P	0.000244
200729_s_at	2292.6	P	0.000244
200730_s_at	392.2	P	0.000732
200731_s_at	517.6	P	0.018555
200732_s_at	492.5	P	0.000244
200733_s_at	194.7	P	0.01416
