ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,580.5,P,0.009985
1053_at,511.5,P,0.009985
117_at,58.7,A,0.47938
121_at,1472.4,P,0.008689
1255_g_at,34,A,0.47938
1294_at,809.3,P,0.000959
1316_at,172.4,A,0.11716
1320_at,34.5,A,0.732537
1405_i_at,69.6,A,0.181343
1431_at,151.9,A,0.127645
1438_at,58.4,A,0.561639
1487_at,585.4,A,0.07383
1494_f_at,359.4,P,0.048995
1598_g_at,940.1,M,0.060419
160020_at,729.8,P,0.017001
1729_at,612.4,P,0.000388
1773_at,208,A,0.267463
177_at,100.5,A,0.52062
179_at,1031.3,A,0.07383
1861_at,386,M,0.060419
200000_s_at,3335.2,P,0.000244
200001_at,4129.3,P,0.001221
200002_at,13324.8,P,0.000244
200003_s_at,35755.2,P,0.000244
200004_at,7506.6,P,0.000244
200005_at,5731,P,0.000244
200006_at,5609.7,P,0.000244
200007_at,8305.7,P,0.000244
200008_s_at,3351.5,P,0.000244
200009_at,6457.9,P,0.000244
200010_at,26612.5,P,0.000244
200011_s_at,1900.5,P,0.000244
200012_x_at,28800.9,P,0.000244
200013_at,25769,P,0.000244
200014_s_at,2320.1,P,0.000244
200015_s_at,2178.4,P,0.000732
200016_x_at,27421.8,P,0.000244
200017_at,23977.1,P,0.000732
200018_at,36268.8,P,0.000244
200019_s_at,16870.7,P,0.000244
200020_at,2644.8,P,0.000244
200021_at,31872.6,P,0.001221
200022_at,27958.2,P,0.000244
200023_s_at,7491,P,0.000244
200024_at,21541.6,P,0.000732
200025_s_at,22023.4,P,0.000244
200026_at,40186.1,P,0.000732
200027_at,2282.9,P,0.000244
200028_s_at,1696.7,P,0.000244
200029_at,24746.7,P,0.000244
200030_s_at,9466.3,P,0.000244
200031_s_at,44115.6,P,0.000244
200032_s_at,39913.9,P,0.000244
200033_at,11367.7,P,0.000244
200034_s_at,22667.8,P,0.000244
200035_at,1544.2,P,0.00415
200036_s_at,15905.4,P,0.000244
200037_s_at,4586.8,P,0.000244
200038_s_at,27827.6,P,0.000244
200039_s_at,3116.4,P,0.000244
200040_at,4194.8,P,0.000244
200041_s_at,8750.1,P,0.000244
200042_at,1941.2,P,0.001953
200043_at,5425.6,P,0.001221
200044_at,3258.3,P,0.000244
200045_at,1925.4,P,0.000732
200046_at,1832.9,P,0.000244
200047_s_at,2502.5,P,0.000244
200048_s_at,4031.3,P,0.000244
200049_at,525.2,P,0.000732
200050_at,1423,P,0.000732
200051_at,466.3,P,0.000244
200052_s_at,2652.6,P,0.000244
200053_at,1733.1,P,0.000244
200054_at,238.5,P,0.01416
200055_at,2912.8,P,0.000244
200056_s_at,353.6,P,0.00293
200057_s_at,12745.6,P,0.000244
200058_s_at,3658.8,P,0.000244
200059_s_at,7742.4,P,0.000244
200060_s_at,3267.2,P,0.001221
200061_s_at,38188.3,P,0.000244
